Original S/NO,,2nd S/NO,date,, 3rd S/NO,date,,4th S/NO,date,,5th S/NO,date,,6th S/NO,date,,7th S/NO,date,,8th S/NO,date,,9th S/NO,date,,10th S/NO,date,,11th S/NO,date,,12th S/NO,date
6111002138,,5A28002557,3/20/2018,,6118003103,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001893,,5A27001975,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002110,,6116000870,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001561,,5B20001964,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000641,,6118002909,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000319,,6112000049,2/27/2018,,6118002179,3/15/2018,,6116002009,3/27/2018,,5b13002468,7/29/2018,,,,,,,,,,,,,,,,,,,,,
5A27002091,,6116001902,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002706,,6111000262,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002695,,6116002666,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002684,,6118002196,4/4/2018,,6111000322,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001946,,6116002009,5/29/2018,,6116001760,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001900,,6112000049,3/15/2018,,6116002042,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001765,,6118002179,3/20/2018,,6118002852,6/19/2018,,5a28002358,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116002634,,5a27001902,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001466,,6116001454,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001447,,6115001453,5/29/2018,,6129000660,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001392,,6112000018,4/11/2018,,6118001515,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001136,,6116000909,,,6116002844,6/26/2018,,6118002262,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001115,,5A28000319,12/27/2017,,5a27000883,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001065,,6118002594,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000878,,6118001915,6/5/2018,,6114000304,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001846,,6129001151,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000830,,6129001258,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A23002669,,6116002573,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A23002421,,5A28001846,3/5/2018,,6118002234,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001866,,5A27001630,6/11/2018,,5A28000844,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001758,,6129002082,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002216,,6111001496,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001736,,6116002004,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003243,,6111001892,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A23001149,,5B12002932,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001693,,5A23001442,2/21/2018,,5A29001254,,,6118002603,5/28/2018,,5B12003099,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6118002527,,5A27001413,1/23/2018,,6116001668,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002168,,5A28000943,3/20/2018,,6118003194,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B14002031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001616,,6111001111,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000938,,6111001877,7/3/2018,,6118002148,7/29/2018,,6116001223,9/4/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27001413,,6116002721,1/30/2018,,6118002143,4/18/2018,,5A28001391,5/28/2018,,6111000653,7/3/2018,,5A29001254,7/10/2018,,5A28001014,7/18/2018,,5A27002061,7/29/2018,,,,,,,,,,,,
5A28001144,,5B20002332,7/3/2018,,6111001446,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22000881,,6112001272,3/13/2018,,6115000519,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002352,,5A28001240,1/8/2018,,6114000971,7/29/2018,,5A28002504,9/4/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A28001240,,6116001552,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002123,,6126000252,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002045,,5B13991232,4/3/2018,,6115002052,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001593,,6118003105,4/18/2018,,6115000399,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22000854,,5A27000551,1/3/2018,,6116001125,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000777,,5B14002013,1/3/2018,,6111001742,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000460,,5A27001547,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000115,,6118002969,,,6111001090,5/28/2018,,5A27001838,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001280,,5A28001264,3/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001376,,6115000435,4/3/2018,,5B12002832,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000551,,5A29001419,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13002240,,6116002278,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001559,,6115000458,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13000932,,6118003301,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001139,,6116001104,5/28/2018,,6129001130,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000885,,6116000815,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000076,,6118002531,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001802,,6116001511,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001504,,5b20001197,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001452,,6115000538,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002974,,6118002850,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002937,,6111000808,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001614,,5a28002612,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001594,,6116002143,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002537,,6111002012,1/29/2018,,5a28002489,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001579,,6114000463,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001556,,6128000880,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001400,,5a27001302,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001398,,6118003003,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001008,,5a22000659,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000813,,6118001984,7/29/2018,,6116000804,"Aug 27, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001324,,6111002128,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002012,,6116001954,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002990,,6116002363,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002797,,6116001387,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002782,,6111000285,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001722,,5A28002238,12/12/2017,,5A22000458,4/4/2018,,5B13002064,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6118001978,,5A27001869,5/8/2018,,5B20002238,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002649,,5A23002744,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002399,,5A27000656,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002718,,6116002654,1/30/2018,,6112000222,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000496,,6116002182,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001725,,6116001027,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B12003379,,5A29000810,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001393,,5A27000674,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002389,,6118002773,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001671,,6118002627,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13000689,,5A28002584,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002228,,6118002243,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a23002751,,6116001621,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115000438,,5B16001020,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002185,,6114000037,6/26/2018,,6116002383,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28002238,,5A27001997,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B20001069,,6111001812,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001021,,6109000647,2/7/2018,,6129002178,3/28/2018,,6125001116,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5B13001018,,6118003254,2/7/2018,,5b20001258,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B12003531,,6115001020,2/1/2018,,5B12002930,7/26/2018,,6112001490,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A29001227,,6113001425,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001940,,6118002048,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000870,,6118001668,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000082,,6116001794,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001696,,6118002599,2/1/2018,,5A27001961,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000980,,5A27002234,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003072,,5A27001666,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003030,,6116002176,3/14/2018,,6129002217,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002198,,6115001474,1/13/2018,,5A22000758,6/13/2018,,6115000500,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6118002052,,6116002164,3/7/2018,,5a27001582,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002614,,5a27001660,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002613,,6116001573,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001474,,6116002164,2/22/2018,,6116002176,3/7/2018,,5A22000758,3/28/2018,,6116001384,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6114000124,,5a27001133,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114000010,,6130000192,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002762,,6116001071,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001239,,5a27001467,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000676,,6118002623,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A23001427,,6118002708,12/6/2017,,5A27000434,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003125,,6118002263,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002708,,6116001973,12/13/2017,,5b04000147,2/8/2018,,6111001366,2/21/2018,,5B20001386,5/1/2018,,6118003284,6/19/2018,,6116001215,7/29/2018,,,,,,,,,,,,,,,
6116001341,,5B04000147,2/15/2018,,5B20001386,6/5/2018,,6109000512,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001088,,6116001973,12/20/2017,,6116001208,2/21/2018,,5A27000917,6/12/2018,,5a27001861,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6116000790,,6116002540,1/16/2018,,6115001648,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002126,,6111001366,4/24/2018,,5b20001173,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001787,,6129001276,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002192,,6113001036,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114000857,,6116001381,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28002331,,6118003124,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001231,,6116001456,5/16/2018,,5A28000417,6/27/2018,,6118002803,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001078,,6118002203,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000350,,6129001109,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001397,,6115000412,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000930,,6112001158,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002796,,6116001395,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001194,,6129001125,7/29/2018,,6116002168,8/7/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001503,,5A28000194,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114000037,,6118002226,3/27/2018,,6118003608,4/18/2018,,6118002252,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27000754,,6118002560,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001925,,5A29001468,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001461,,5A28002606,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000736,,5a23002735,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002582,,6116001798,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003240,,6116000886,1/24/2018,,6115001462,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115002395,,6115000382,1/31/2018,,5A27001618,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003517,,5B13002229,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000886,,6116002168,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002055,,5A28000114,3/6/2018,,6118002190,7/5/2018,,5a29001242,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001409,,6118002277,4/30/2018,,5B20002437,7/29/2018,,6115002206,"Aug 29, 2018",,,,,,,,,,,,,,,,,,,,,,,,
6116001145,,5B13002384,3/27/2018,,6112001321,7/29/2018,,5A29001306,9/5/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116000794,,6118003576,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001708,,6116000751,6/6/2018,,6118003594,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001263,,6114000045,2/1/2018,,6118003035,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001252,,6128001009,4/19/2018,,6118002219,7/5/2018,,5c07001011,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27000742,,5B20002437,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001410,,6118003240,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002551,,6116001704,4/19/2018,,5a29001303,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001686,,6128001247,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001204,,6118002067,7/29/2018,,6113000632,8/16/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002300,,5a27000404,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001415,,6118002545,5/9/2018,,6116001945,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002981,,6118002961,4/19/2018,,6116002686,4/26/2018,,6118002227,7/29/2018,,6128001083,9/5/2018,,,,,,,,,,,,,,,,,,,,,
5A28000988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001262,,5A27001613,12/21/2017,,5A27001432,4/12/2018,,6116001582,7/19/2018,,6129001326,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6112001123,,6116001025,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002548,,6109000807,4/3/2018,,6116000875,4/5/2018,,6116001598,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27001901,,6116001912,3/22/2018,,6118002989,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28002562,,6116002870,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001613,,6109000807,3/28/2018,,6118002545,4/30/2018,,6116001582,5/17/2018,,6113000632,7/29/2018,,,,,,,,,,,,,,,,,,,,,
5B13001653,,5a22000786,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001544,,6111000804,12/14/2017,,6116001430,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29001465,,6116001175,5/16/2018,,5A22000684,7/27/2018,,6118003618,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A29001188,,6115001203,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000035,,6111002163,5/16/2018,,5A28000114,7/9/2018,,6118002660,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27001249,,6115002143,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A23002686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003065,,6113000390,4/3/2018,,5A27001619,7/25/2018,,5a27000229,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6118002997,,5a27000693,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002615,,5A28001044,7/17/2018,,6116002748,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002190,,5A27002002,6/7/2018,,6112000153,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002162,,6111000253,5/8/2018,,5a22000754,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001150,,6111001682,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001020,,6111001901,4/25/2018,,5a27000417,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001015,,5B20001196,5/8/2018,,5b20002281,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000757,,5a27000655,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112000102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001847,,5A27000814,12/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000804,,5A27002002,5/16/2018,,5A22000684,6/11/2018,,6118003214,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A23002735,,6118001500,2/19/2018,,5a28001231,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002436,,6118003309,2/12/2018,,6114000432,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002087,,6115001745,12/28/2017,,5B19000945,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002501,,6116001028,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001406,,6115000602,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001684,,5A27001402,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001014,,6116000773,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001282,,5A27000558,1/29/2018,,6111001787,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001490,,611001613,2/19/2018,,6118001907,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001741,,6116002173,3/12/2018,,,7/23/2018,,6118002361,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6111000285,,6116001669,1/2/2018,,5A27000924,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001745,,6116002173,,,5A23001522,4/3/2018,,6116002127,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116002806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113001046,,6114000067,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B20001232,,5A27001918,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001778,,6116001405,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001979,,6116000854,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002696,,5B12002757,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000243,,6118002588,2/27/2018,,6116002280,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002616,,6116001499,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002732,,6116001377,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002423,,6114000061,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B20001386,,5A28001643,3/26/2018,,5A27000580,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001241,,5B13001010,1/9/2018,,5A29000620,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B20001158,,6129002320,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002326,,6116001558,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001010,,5B13002494,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001820,,6116001315,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001215,,6116001047,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002417,,6129002219,7/17/2018,,5A28000215,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6130000022,,5a27001778,5/8/2018,,5b13002431,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001383,,6118001673,5/8/2018,,6111000105,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001948,,5B20001175,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001751,,6129001878,5/30/2018,,6116001465,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B20001147,,6111001549,,,5B13002459,3/19/2018,,5B20002399,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5B20001405,,6116000837,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B20002190,,5a27001650,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000013,,6116002364,5/8/2018,,6118002456,6/29/2018,,5A29001487,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001642,,6116002609,,,6118003123,6/21/2018,,6118002242,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5B12004736,,6106002187,2/20/2018,,6116001159,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002155,,5a28002564,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002768,,5A29000304,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001453,,5a27000167,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002147,,6129001107,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002076,,6111000643,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001646,,6115002158,2/20/2018,,5b12002883,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001822,,5A28002196,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112001157,,6116001109,5/21/2018,,5B12004704,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002449,,6111991962,3/5/2018,,6116002431,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001923,,5A27000134,5/21/2018,,5B12003456,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001678,,6118002893,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001962,,6118002479,4/9/2018,,6116002137,4/16/2018,,5A28002425,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A22000832,,6116001292,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001239,,5B20001386,,,5A7000850,4/16/2018,,6129001313,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6115001241,,5A28002601,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000586,,6113000722,4/3/2018,,6116001350,,,6111000579,4/16/2018,,6111001666,7/29/2018,,,,,,,,,,,,,,,,,,,,,
