Original S/NO,,2nd S/NO,date,, 3rd S/NO,date,,4th S/NO,date,,5th S/NO,date,,6th S/NO,date,,7th S/NO,date,,8th S/NO,date,,9th S/NO,date,,10th S/NO,date,,11th S/NO,date,,12th S/NO,date
6118001894,,5A23001427,5/23/2018,,6116001795,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000353,,6116002359,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22001269,,6118002498,4/23/2018,,5A22001194,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13002111,,6111001344,,,6129002283,3/19/2018,,5A27001971,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5a22001016,,5a28001786,4/23/2018,,6111000472,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002028,,6112001289,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a22000624,,5A28000307,7/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001495,,5A28001242,8/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113001710,,6129002283,4/16/2018,,6111002098,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001485,,6111001476,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13002368,,6116001524,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001185,,6116001260,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B07003403,,6116001106,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001168,,5A27001357,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000016,,5A28000350,6/19/2018,,6116001339,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001886,,5A27000497,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001749,,5b20002325,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000722,,5a28000917,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000557,,6116002581,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000471,,6116001547,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003209,,6118002969,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003074,,5B12002892,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002869,,6118002165,5/1/2018,,6116001809,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002761,,6115001421,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002578,,5A27001538,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002135,,6116002296,5/1/2018,,6116001362,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001597,,5B13002368,1/9/2018,,6116002271,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001452,,5B20001186,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115002401,,6116001234,3/18/2018,,6116001294,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112001436,,6116001129,6/12/2018,,5A29001356,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112000063,,5B12004766,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002163,,5A27001786,5/1/2018,,6118002776,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13002402,,6128000937,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001173,,6116001370,1/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001699,,6116002475,4/11/2018,,5B20001093,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001548,,6116001048,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001514,,6116001370,1/10/2018,,6111000435,6/25/2018,,6129001305,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
